大ジャンル,販売カテゴリ,商品カテゴリ,商品名,ミルクカスタム,エネルギー,タンパク質,脂質,炭水化物,食塩相当量,食物繊維,糖質,ナトリウム,カリウム,トランス脂肪酸,飽和脂肪酸,カフェイン
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,トリプル エスプレッソ ラテ（アイス）,ブレべ,286.0,4.1,24.0,14.0,0.1,1.0,13.0,55.0,504.0,0.2,15.3,239.0
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,カフェ アメリカーノ（ホット）,,11.0,0.8,0.0,2.2,0.0,0.7,1.6,0.0,247.0,0.0,0.0,160.0
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,カフェ アメリカーノ（アイス）,,11.0,0.8,0.0,2.2,0.0,0.7,1.6,0.0,247.0,0.0,0.0,160.0
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,オーツミルク ラテ（ホット）,,213.0,4.7,11.5,23.5,0.5,2.0,21.5,207.0,242.0,0.0,1.2,80.0
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,オーツミルク ラテ（アイス）,,119.0,2.7,6.3,13.4,0.3,1.2,12.2,114.0,189.0,0.0,0.7,80.0
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,アーモンドミルク ラテ（ホット）,,154.0,2.3,13.6,8.5,0.7,5.8,2.7,268.0,185.0,0.0,8.6,80.0
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,アーモンドミルク ラテ（アイス）,,87.0,1.4,7.4,5.2,0.4,3.3,1.9,147.0,157.0,0.0,4.7,80.0
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,カプチーノ（ホット）,ミルク,114.0,6.5,5.8,9.4,0.2,0.3,9.1,72.0,380.0,0.2,3.4,80.0
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,カプチーノ（ホット）,低脂肪タイプ,93.0,6.5,3.1,10.0,0.3,0.3,9.7,116.0,412.0,0.1,1.8,80.0
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,カプチーノ（ホット）,無脂肪乳,73.0,6.5,0.5,10.6,0.4,0.3,10.2,159.0,444.0,0.0,0.3,80.0
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,カプチーノ（ホット）,豆乳（調製豆乳）,107.0,6.1,6.9,5.6,0.3,0.7,4.9,107.0,393.0,0.0,1.0,80.0
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,カプチーノ（ホット）,アーモンドミルク,80.0,1.4,6.8,4.8,0.3,3.1,1.8,134.0,154.0,0.0,4.3,80.0
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,カプチーノ（ホット）,オーツミルク,109.0,2.5,5.8,12.3,0.3,1.2,11.2,104.0,183.0,0.0,0.6,80.0
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,カプチーノ（ホット）,ブレべ,373.0,4.8,35.3,9.3,0.2,0.3,9.0,79.0,319.0,0.4,22.4,80.0
