大ジャンル,商品カテゴリ,商品名,長方形画像URL,円形画像URL,商品URL,エネルギー,タンパク質,脂質,炭水化物,食塩相当量,食物繊維,糖質,ナトリウム,カリウム,トランス脂肪酸,飽和脂肪酸,カフェイン,お酒の使用
フード,デザート,オレンジのカスタードタルト,https://asset.menu.starbucks.co.jp/public/sku_images/4524785555716/4524785555716_11_s.jpg,,https://menu.starbucks.co.jp/4524785555716,377.0,5.6,25.2,32.6,0.1,1.4,31.2,56.0,162.0,0.2,11.1,,なし
フード,デザート,チョコレートクランブル ムースケーキ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785553378/4524785553378_11_s.jpg,,https://menu.starbucks.co.jp/4524785553378,371.0,4.2,23.6,36.4,0.1,2.1,34.3,24.0,192.0,0.1,11.8,,なし
フード,デザート,ナッツ＆キャラメルチーズケーキ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785553415/4524785553415_11_s.jpg,,https://menu.starbucks.co.jp/4524785553415,430.0,5.8,29.4,36.4,0.4,1.4,35.0,152.0,121.0,0.2,13.2,,なし
フード,デザート,ホワイトモカケーキ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785453470/4524785453470_11_s.jpg,,https://menu.starbucks.co.jp/4524785453470,302.0,3.9,21.1,24.9,0.2,0.8,24.1,57.0,96.0,0.0,9.0,,あり（アルコール分0.2%）
フード,デザート,宇治抹茶シフォンケーキ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785488816/4524785488816_11_s.jpg,,https://menu.starbucks.co.jp/4524785488816,298.0,4.2,19.6,26.5,0.2,0.6,25.9,65.0,101.0,0.1,10.3,,なし
フード,ペストリー,チョコレートチャンクスコーン,https://asset.menu.starbucks.co.jp/public/sku_images/4524785496972/4524785496972_11_s.jpg,,https://menu.starbucks.co.jp/4524785496972,358.0,6.3,17.4,45.1,1.2,2.2,42.9,472.0,141.0,0.1,9.1,,なし
フード,ペストリー,キャラメルトフィースコーン,https://asset.menu.starbucks.co.jp/public/sku_images/4524785523043/4524785523043_11_s.jpg,,https://menu.starbucks.co.jp/4524785523043,325.0,5.5,13.5,46.1,0.5,1.3,44.8,200.0,99.0,0.1,6.4,,なし
フード,ペストリー,シナモンロール,https://asset.menu.starbucks.co.jp/public/sku_images/4524785508361/4524785508361_11_s.jpg,,https://menu.starbucks.co.jp/4524785508361,549.0,9.0,29.1,64.1,0.8,2.1,62.0,335.0,114.0,0.1,11.3,,なし
フード,ペストリー,アメリカンワッフル,https://asset.menu.starbucks.co.jp/public/sku_images/4524785466562/4524785466562_11_s.jpg,,https://menu.starbucks.co.jp/4524785466562,248.0,6.3,11.9,29.1,0.8,0.6,28.5,333.0,88.0,0.1,4.8,,なし
フード,ペストリー,シュガードーナツ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785508385/4524785508385_11_s.jpg,,https://menu.starbucks.co.jp/4524785508385,360.0,4.5,21.4,38.0,0.5,1.1,36.9,207.0,43.0,0.1,7.8,,なし
フード,ペストリー,抹茶クリームドーナツ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785558311/4524785558311_11_s.jpg,,https://menu.starbucks.co.jp/4524785558311,429.0,5.0,26.5,43.4,0.6,1.6,41.8,219.0,67.0,0.1,10.2,,なし
フード,ペストリー,チョコレートクリームドーナツ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785511187/4524785511187_11_s.jpg,,https://menu.starbucks.co.jp/4524785511187,408.0,6.2,25.0,40.9,0.6,3.1,37.8,230.0,214.0,0.1,12.2,,なし
フード,ペストリー,バナナの米粉マフィン,https://asset.menu.starbucks.co.jp/public/sku_images/4524785537354/4524785537354_11_s.jpg,,https://menu.starbucks.co.jp/4524785537354,301.0,3.6,12.5,44.0,0.5,0.6,43.4,190.0,61.0,0.1,3.2,,なし
フード,ペストリー,あんバターサンド,https://asset.menu.starbucks.co.jp/public/sku_images/4524785529755/4524785529755_11_s.jpg,,https://menu.starbucks.co.jp/4524785529755,267.0,6.0,9.1,41.3,0.6,2.2,39.1,228.0,76.0,0.1,4.5,,なし
フード,ペストリー,もっちりボール アールグレイ＆ハニーミルク,https://asset.menu.starbucks.co.jp/public/sku_images/4524785558328/4524785558328_11_s.jpg,,https://menu.starbucks.co.jp/4524785558328,307.0,8.2,13.8,38.1,0.8,1.2,36.9,315.0,65.0,0.0,2.4,,なし
フード,ペストリー,マロンパウンドケーキ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785546721/4524785546721_11_s.jpg,,https://menu.starbucks.co.jp/4524785546721,309.0,3.5,18.0,33.6,0.1,0.9,32.7,45.0,76.0,0.1,7.3,,なし
フード,ペストリー,アーモンドクロッカン,https://asset.menu.starbucks.co.jp/public/sku_images/4524785546745/4524785546745_11_s.jpg,,https://menu.starbucks.co.jp/4524785546745,378.0,7.0,21.2,41.1,0.8,2.7,38.4,313.0,208.0,0.1,6.5,,なし
フード,ペストリー,[ドライブスルー店販売]抹茶あんバターサンド,https://asset.menu.starbucks.co.jp/public/sku_images/4524785558335/4524785558335_11_s.jpg,,https://menu.starbucks.co.jp/4524785558335,243.0,6.0,6.5,41.3,0.6,2.5,38.8,238.0,71.0,0.1,3.5,,なし
フード,ペストリー,ベーコンとほうれん草のキッシュ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785438460/4524785438460_11_s.jpg,,https://menu.starbucks.co.jp/4524785438460,343.0,8.4,24.4,23.1,1.6,1.7,21.4,644.0,167.0,0.2,11.2,,なし
フード,ペストリー,あらびきソーセージパイ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785461512/4524785461512_11_s.jpg,,https://menu.starbucks.co.jp/4524785461512,343.0,8.8,21.5,28.6,1.6,1.4,27.2,644.0,140.0,0.1,8.2,,なし
