大ジャンル,販売カテゴリ,商品カテゴリ,商品名,ミルクカスタム,エネルギー,タンパク質,脂質,炭水化物,食塩相当量,食物繊維,糖質,ナトリウム,カリウム,トランス脂肪酸,飽和脂肪酸,カフェイン,商品カテゴリ２,タンパク質_偏差値,食物繊維_偏差値,ナトリウム_偏差値,カリウム_偏差値,脂質_偏差値,食塩相当量_偏差値,糖質_偏差値,トランス脂肪酸_偏差値,飽和脂肪酸_偏差値,カフェイン_偏差値,健康偏差値,不健康偏差値
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,カフェ モカ（ホット）,オーツミルク,391.0,6.1,18.7,51.6,0.5,4.1,47.5,183.0,523.0,0.1,5.7,95.0,エスプレッソ,47.1,68.3,50.9,52.4,52.8,51.8,66.0,48.5,48.1,50.4,54.675,52.933
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,カフェ モカ（ホット）,ブレべ,823.0,9.8,67.1,46.6,0.3,2.8,43.9,142.0,747.0,0.6,41.4,95.0,エスプレッソ,57.8,59.4,45.4,64.1,84.2,41.9,63.4,77.5,83.3,50.4,56.675,66.783
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,カフェ モカ（アイス）,ミルク,251.0,7.3,7.9,39.3,0.1,2.8,36.5,63.0,622.0,0.1,3.6,95.0,エスプレッソ,50.6,59.4,34.9,57.6,45.8,32.0,58.2,48.5,46.1,50.4,50.625,46.833
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,カフェ モカ（アイス）,低脂肪タイプ,234.0,7.3,5.7,39.7,0.2,2.8,37.0,99.0,648.0,0.1,2.3,95.0,エスプレッソ,50.6,59.4,39.7,58.9,44.4,37.0,58.5,48.5,44.8,50.4,52.15,47.267
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,カフェ モカ（アイス）,無脂肪乳,217.0,7.3,3.6,40.2,0.3,2.8,37.4,134.0,674.0,0.0,1.0,95.0,エスプレッソ,50.6,59.4,44.3,60.3,43.0,41.9,58.8,42.7,43.5,50.4,53.65,46.717
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,カフェ モカ（アイス）,豆乳（調製豆乳）,245.0,7.0,8.8,36.1,0.3,3.0,33.1,91.0,632.0,0.0,1.6,95.0,エスプレッソ,49.7,60.7,38.6,58.1,46.4,41.9,55.7,42.7,44.1,50.4,51.775,46.867
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,カフェ モカ（アイス）,アーモンドミルク,223.0,3.1,8.7,35.5,0.3,5.0,30.5,114.0,438.0,0.0,4.3,95.0,エスプレッソ,38.4,74.4,41.7,48.0,46.4,41.9,53.9,42.7,46.8,50.4,50.625,47.017
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,カフェ モカ（アイス）,オーツミルク,247.0,4.1,7.9,41.6,0.2,3.4,38.2,89.0,461.0,0.0,1.3,95.0,エスプレッソ,41.3,63.5,38.3,49.2,45.8,37.0,59.4,42.7,43.8,50.4,48.075,46.517
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,カフェ モカ（アイス）,ブレべ,462.0,5.9,32.0,39.2,0.2,2.8,36.4,69.0,573.0,0.3,19.1,95.0,エスプレッソ,46.5,59.4,35.7,55.0,61.4,37.0,58.1,60.1,61.3,50.4,49.15,54.717
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,ホワイト モカ（ホット）,ミルク,401.0,12.8,18.3,46.8,0.5,0.4,46.4,227.0,675.0,0.3,11.5,80.0,エスプレッソ,66.5,42.9,56.8,60.3,52.6,51.8,65.2,60.1,53.9,47.5,56.625,55.183
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,ホワイト モカ（ホット）,低脂肪タイプ,366.0,12.8,13.8,47.7,0.7,0.4,47.4,300.0,728.0,0.2,8.9,80.0,エスプレッソ,66.5,42.9,66.5,63.1,49.7,61.7,65.9,54.3,51.3,47.5,59.75,55.067
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,ホワイト モカ（ホット）,無脂肪乳,331.0,12.8,9.4,48.7,0.9,0.4,48.3,373.0,782.0,0.1,6.3,80.0,エスプレッソ,66.5,42.9,76.2,65.9,46.8,71.6,66.6,48.5,48.7,47.5,62.875,54.95
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,ホワイト モカ（ホット）,豆乳（調製豆乳）,389.0,12.2,20.1,40.3,0.8,0.9,39.3,285.0,696.0,0.1,7.5,80.0,エスプレッソ,64.7,46.3,64.5,61.4,53.7,66.7,60.2,48.5,49.9,47.5,59.225,54.417
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,ホワイト モカ（ホット）,アーモンドミルク,343.0,4.2,20.0,39.1,0.8,5.0,34.1,331.0,297.0,0.1,13.1,80.0,エスプレッソ,41.6,74.4,70.6,40.7,53.7,66.7,56.4,48.5,55.4,47.5,56.825,54.7
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,ホワイト モカ（ホット）,オーツミルク,393.0,6.2,18.3,51.6,0.7,1.8,49.9,281.0,345.0,0.1,6.9,80.0,エスプレッソ,47.4,52.5,64.0,43.2,52.6,61.7,67.7,48.5,49.3,47.5,51.775,54.55
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,ホワイト モカ（ホット）,ブレべ,834.0,10.0,67.7,46.5,0.6,0.4,46.1,239.0,574.0,0.7,43.4,80.0,エスプレッソ,58.4,42.9,58.4,55.1,84.6,56.8,65.0,83.3,85.3,47.5,53.7,70.417
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,ホワイト モカ（アイス）,ミルク,253.0,7.5,7.4,39.2,0.4,0.4,38.8,160.0,451.0,0.1,4.9,80.0,エスプレッソ,51.1,42.9,47.8,48.7,45.5,46.9,59.8,48.5,47.4,47.5,47.625,49.267
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,ホワイト モカ（アイス）,低脂肪タイプ,235.0,7.5,5.2,39.7,0.5,0.4,39.3,197.0,479.0,0.1,3.5,80.0,エスプレッソ,51.1,42.9,52.8,50.1,44.1,51.8,60.2,48.5,46.0,47.5,49.225,49.683
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,ホワイト モカ（アイス）,無脂肪乳,217.0,7.5,2.9,40.1,0.6,0.4,39.8,234.0,506.0,0.0,2.2,80.0,エスプレッソ,51.1,42.9,57.7,51.5,42.6,56.8,60.5,42.7,44.7,47.5,50.8,49.133
