大ジャンル,商品カテゴリ,商品名,長方形画像URL,円形画像URL,商品URL,エネルギー,タンパク質,脂質,炭水化物,食塩相当量,食物繊維,糖質,ナトリウム,カリウム,トランス脂肪酸,飽和脂肪酸,カフェイン,お酒の使用
ビバレッジ,エスプレッソ,オーツミルク ラテ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785433021/4524785433021_11_s.jpg,,https://menu.starbucks.co.jp/4524785433021,213kcal,4.7g,11.5g,23.5g,0.5g,2.0g,21.5g,207mg,242mg,0.0g,1.2g,80mg,
ビバレッジ,エスプレッソ,カプチーノ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785000285/4524785000285_11_s.jpg,,https://menu.starbucks.co.jp/4524785000285,114kcal,6.5g,5.8g,9.4g,0.2g,0.3g,9.1g,72mg,380mg,0.2g,3.4g,80mg,
ビバレッジ,エスプレッソ,カフェ モカ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785000254/4524785000254_11_s.jpg,,https://menu.starbucks.co.jp/4524785000254,399kcal,12.6g,18.7g,46.9g,0.3g,2.8g,44.1g,131mg,845mg,0.3g,10.2g,95mg,
ビバレッジ,エスプレッソ,ホワイト モカ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785034532/4524785034532_11_s.jpg,,https://menu.starbucks.co.jp/4524785034532,401kcal,12.8g,18.3g,46.8g,0.5g,0.4g,46.4g,227mg,675mg,0.3g,11.5g,80mg,
ビバレッジ,エスプレッソ,キャラメル マキアート,https://asset.menu.starbucks.co.jp/public/sku_images/4524785019232/4524785019232_11_s.jpg,,https://menu.starbucks.co.jp/4524785019232,211kcal,8.5g,8.4g,25.9g,0.2g,0.3g,25.5g,106mg,467mg,0.2g,4.9g,80mg,
ビバレッジ,エスプレッソ,カフェ アメリカーノ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785000315/4524785000315_11_s.jpg,,https://menu.starbucks.co.jp/4524785000315,11kcal,0.8g,0.0g,2.2g,0.0g,0.7g,1.6g,0mg,247mg,0.0g,0.0g,160mg,
ビバレッジ,エスプレッソ,エスプレッソ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785000346/4524785000346_11_s.jpg,,https://menu.starbucks.co.jp/4524785000346,5kcal,0.4g,0.0g,1.1g,0.0g,0.3g,0.8g,0mg,124mg,0.0g,0.0g,80mg,
ビバレッジ,エスプレッソ,スターバックス ブロンド ラテ with オーツミルク,https://asset.menu.starbucks.co.jp/public/sku_images/4524785487253/4524785487253_11_s.jpg,,https://menu.starbucks.co.jp/4524785487253,213kcal,4.7g,11.5g,23.5g,0.5g,2.0g,21.5g,207mg,242mg,0.0g,1.2g,80mg,
ビバレッジ,エスプレッソ,トリプルエスプレッソ ラテ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785457690/4524785457690_11_s.jpg,,https://menu.starbucks.co.jp/4524785457690,219kcal,11.4g,9.7g,22.4g,0.3g,1.0g,21.4g,122mg,801mg,0.3g,5.7g,239mg,
ビバレッジ,エスプレッソ,オリアート™ オーツミルク ラテ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785544406/4524785544406_11_s.jpg,,https://menu.starbucks.co.jp/4524785544406,318kcal,4.5g,24.4g,22.4g,0.5g,-,-,-,-,-,-,-,
